id,module,type,difficulty,question,answer,n_contexts,faithfulness,answer_relevancy,context_precision,context_recall,elapsed_s,error
1,M1,conceptual,easy,¿Cuáles son los requisitos mínimos de hardware para instalar Android Studio?,"Según el material del curso, los requisitos mínimos de hardware para instalar Android Studio son:

- **Windows**: 8 GB de RAM mínimo (16 GB recomendado)
- **macOS**: 8 GB de RAM mínimo

Es importante tener en cuenta que estos requisitos se mencionan específicamente para las plataformas Windows y macOS. No hay información adicional sobre otros sistemas operativos en el contexto proporcionado.

Si tienes alguna otra pregunta relacionada con los requisitos del sistema o necesitas más detalles, esta",7,0.667,0.891,0.25,0.75,27.7,
2,M1,conceptual,easy,¿Qué carpeta del proyecto Android contiene los recursos XML de layouts?,"Según el contexto proporcionado, los archivos XML que definen los layouts en un proyecto Android se encuentran en la carpeta `res/layout/`. Este es el lugar donde se deben ubicar los archivos `.xml` que contienen la definición de las interfaces de usuario para las actividades principales de tu aplicación.",7,0.5,0.885,0.167,1.0,22.0,
3,M1,conceptual,medium,¿Qué es una Activity en Android y cuál es su rol principal?,"Una `Activity` en Android representa una pantalla individual de la interfaz de usuario, como una pantalla de login, lista de productos o detalle de un elemento. Su rol principal es proporcionar una unidad de interacción con el usuario, donde se puede mostrar contenido y responder a los eventos del usuario.

Según el material del curso, cada `Activity` tiene su propio ciclo de vida que incluye métodos como `onCreate()`, `onStart()`, `onResume()`, entre otros. Estos métodos permiten controlar la i",7,0.6,0.838,0.333,0.667,29.2,
4,M1,application,medium,¿En qué método del ciclo de vida debo liberar recursos pesados como conexiones de red antes de que la Activity se destruya?,"Según el material del curso, es recomendable liberar recursos pesados como conexiones de red en los métodos `onPause()` o `onStop()`. Sin embargo, dado que `onStop()` se invoca cuando la Activity ya no es visible, `onPause()` suele ser un mejor lugar para liberar recursos temporales y pausar operaciones intensivas.

En el contexto del curso, puedes usar el método `onPause()` para liberar recursos pesados como conexiones de red. Aquí tienes un ejemplo basado en lo que se ha cubierto:

```kotlin
o",7,0.833,0.761,0.25,1.0,30.3,
5,M1,application,easy,¿Cómo creo un nuevo emulador Android (AVD) desde Android Studio?,"Para crear un nuevo emulador Android (AVD) en Android Studio, sigue estos pasos:

1. Abre **AVD Manager** desde el menú principal: `Tools → Device Manager`. Esto abrirá la ventana AVD Manager donde puedes administrar tus dispositivos virtuales.

2. Haz clic en el botón **""Create Virtual Device...""** (Crear Dispositivo Virtual...). Este botón está ubicado en la parte superior de la ventana AVD Manager.

3. Selecciona un modelo de dispositivo que desees usar para tu emulador, como se recomienda en",7,0.833,0.89,0.333,0.8,38.2,
6,M1,conceptual,medium,¿Qué es el archivo build.gradle.kts (Module) y qué contiene?,"El archivo `build.gradle.kts` (Module) es un archivo de configuración crucial en la construcción y gestión del proyecto Android. Según el contexto proporcionado, este archivo se encuentra dentro del directorio raíz del módulo y contiene las dependencias y configuraciones específicas necesarias para compilar y ejecutar tu aplicación.

En el fragmento del `build.gradle.kts` que se muestra, se incluyen las siguientes líneas:

```kotlin
dependencies {
    implementation(""junit:junit:4.13.2"")
}
```

",7,0.833,0.923,1.0,0.6,41.7,
7,M2,conceptual,easy,¿Cuál es la diferencia entre `val` y `var` en Kotlin?,"En Kotlin, la palabra clave `val` se utiliza para declarar variables inmutables, lo que significa que una vez que se inicializa con un valor, no puede ser reasignada. Por otro lado, `var` se emplea para declarar variables mutables, permitiendo que el valor de la variable sea cambiado después de su inicialización.

Según el fragmento del contexto proporcionado:

```kotlin
val nombre = ""María""    // Inmutable (no se puede cambiar)
var edad = 20           // Mutable (se puede cambiar)

edad = 21   ",7,1.0,0.888,0.5,1.0,32.5,
8,M2,code,easy,Escribe un programa Kotlin que declare una variable `nombre` inmutable con tu nombre y la imprima.,"Según el material del curso, puedes declarar una variable `val` para almacenar tu nombre de manera inmutable. A continuación, se muestra cómo hacerlo:

```kotlin
val nombre = ""Juan Pérez""  // Declaramos una variable inmutable con mi nombre como ejemplo

println(""Mi nombre es $nombre"")  // Imprimimos el valor de la variable
```

En este código, `val` indica que la variable `nombre` no puede ser modificada después de su inicialización. La cadena `""Mi nombre es $nombre""` utiliza un string template ",7,1.0,0.82,0.5,0.0,24.6,
9,M2,conceptual,medium,¿Cómo se usa el `when` en Kotlin y qué ventaja tiene sobre `switch` de Java?,"En Kotlin, la expresión `when` es una estructura condicional que ofrece más flexibilidad y poder que su homólogo `switch` en Java. Se puede usar tanto como una declaración como una expresión, lo cual permite devolver un valor.

La sintaxis básica del `when` en Kotlin se parece a la de `switch`, pero con algunas diferencias significativas:

```kotlin
val dia = 3

// Usando when como expresión
val mensaje = when (dia) {
    1 -> ""Lunes""
    2 -> ""Martes""
    3 -> ""Miércoles""
    else -> ""Otro día""",7,0.857,0.913,0.5,0.75,40.7,
10,M2,code,medium,"Escribe una función `clasificarEdad(edad: Int): String` que retorne ""Niño"" si <12, ""Adolescente"" si 12-17, ""Adulto"" si >=18.","Según el material del curso proporcionado, la función `clasificarEdad` puede implementarse utilizando una estructura de control `when`. Aquí está un ejemplo basado en el fragmento 6 del contexto:

```kotlin
fun clasificarEdad(edad: Int): String {
    return when {
        edad < 12 -> ""Niño""
        edad in 12..17 -> ""Adolescente""
        else -> ""Adulto""
    }
}
```

Esta función toma un parámetro `edad` de tipo `Int` y utiliza la estructura `when` para clasificar la edad en una de las categorí",7,0.833,0.666,0.333,1.0,39.6,
