id,module,type,difficulty,question,answer,n_contexts,faithfulness,answer_relevancy,context_precision,context_recall,context_entities_recall,answer_correctness,elapsed_s,error
1,M1,conceptual,easy,¿Cuáles son los requisitos mínimos de hardware para instalar Android Studio?,"Según el material del curso, los requisitos mínimos de hardware para instalar Android Studio son:

- Windows 10/11 (64 bits)
- 8 GB de RAM mínimo
- 8 GB de espacio en disco mínimo

Es importante mencionar que se recomienda tener 16 GB de RAM y 8 GB de espacio en disco libre, pero estos son los valores mínimos requeridos para una instalación exitosa.",7,0.6,0.881,0.5,0.6,0.8,0.603,23.5,
2,M1,conceptual,easy,¿Qué carpeta del proyecto Android contiene los recursos XML de layouts?,"Según el contexto proporcionado, la carpeta que contiene los recursos XML de layouts en un proyecto Android es `res/`. Específicamente, se menciona que esta carpeta incluye ""Recursos de la aplicación (layouts, imágenes, valores)"".",7,1.0,0.88,0.622,0.6,0.3,0.217,28.4,
3,M1,conceptual,medium,¿Qué es una Activity en Android y cuál es su rol principal?,"Una activity en Android es la unidad de interacción principal en un aplicativo móvil, representando una pantalla con la que el usuario puede interactuar. Según el material del curso, una activity se inicializa al crearla y carga los recursos necesarios para su interfaz de usuario.

El rol principal de una activity incluye la definición e implementación de la lógica de negocio y la interacción con el usuario a través de elementos como formularios, botones, imágenes, entre otros. Además, las activ",7,0.75,0.743,0.519,0.5,0.875,0.764,26.6,
4,M1,application,medium,¿En qué método del ciclo de vida debo liberar recursos pesados como conexiones de red antes de que la Activity se destruya?,"Según el contexto proporcionado, para liberar recursos pesados como conexiones de red antes de que la Activity se destruya, debes hacerlo en el método `onDestroy()`.

El `onDestroy()` es llamado justo antes de que la Activity sea destruida y no volverá a ser invocado. Es un buen lugar para realizar operaciones finales, como liberar recursos que podrían consumir memoria o causar problemas si se mantienen abiertos durante el cierre de la aplicación.

```kotlin
override fun onDestroy() {
    super.",7,0.857,0.86,0.5,0.667,1.0,0.8,28.3,
5,M1,application,easy,¿Cómo creo un nuevo emulador Android (AVD) desde Android Studio?,"Para crear un nuevo emulador Android (AVD) en Android Studio, sigue estos pasos:

1. Abre el AVD Manager (Android Virtual Device Manager). Puedes acceder a este menú seleccionando `Tools > AVD Manager` en la barra de menús superior.

2. Haz clic en el botón `Create Virtual Device...`. Aquí podrás elegir un dispositivo virtual que se ajuste a tus necesidades, o puedes crear uno personalizado.

3. Selecciona el sistema operativo Android que deseas simular y configura la RAM y el almacenamiento seg",7,1.0,0.948,0.679,0.636,0.5,0.702,32.3,
6,M1,conceptual,medium,¿Qué es el archivo build.gradle.kts (Module) y qué contiene?,"El archivo `build.gradle.kts` (Module) es un archivo de configuración crucial en la construcción y gestión del proyecto Android utilizando Kotlin DSL. Este archivo se encuentra dentro del módulo específico de tu proyecto y define las dependencias, configuraciones y otras propiedades necesarias para el correcto funcionamiento del mismo.

En el contexto proporcionado, este archivo contiene información sobre la `compileSdk`, que es la versión más reciente de Android SDK hasta la cual puedes compila",7,0.5,0.909,0.5,0.2,0.556,0.778,33.4,
7,M2,conceptual,easy,¿Cuál es la diferencia entre `val` y `var` en Kotlin?,"En Kotlin, `val` y `var` son modificadores de variable que definen si una variable es mutable o inmutable.

`val` se utiliza para declarar variables inmutables. Una vez que un valor se asigna a una variable declarada con `val`, no puede ser cambiado. Esto significa que la variable `val` solo puede ser inicializada una sola vez y luego su valor permanecerá constante durante toda la ejecución del programa.

```kotlin
val nombre = ""Giancarlos""
// nombre = ""Juan"" // Esto generaría un error de compil",7,0.5,0.944,0.341,0.545,0.714,0.809,33.5,
8,M2,code,easy,Escribe un programa Kotlin que declare una variable `nombre` inmutable con tu nombre y la imprima.,"En Kotlin, puedes declarar una variable `nombre` como inmutable utilizando la palabra clave `val`. A continuación, se muestra cómo hacerlo siguiendo las buenas prácticas del curso:

```kotlin
val nombre = ""Carlos""
println(""Mi nombre es $nombre"")
```

Este código declara la variable `nombre` como inmutable con el valor `""Carlos""`, y luego imprime ese valor utilizando un string template para una concatenación más limpia.

Recuerda que al usar `val`, no se puede reasignar el valor de la variable de",7,1.0,0.878,0.755,0.727,1.0,0.579,18.2,
9,M2,conceptual,medium,¿Cómo se usa el `when` en Kotlin y qué ventaja tiene sobre `switch` de Java?,"En Kotlin, la instrucción `when` es una forma poderosa y flexible para manejar múltiples condiciones. Se utiliza principalmente como un reemplazo avanzado del operador `switch` de Java.

La sintaxis básica de `when` en Kotlin se ve así:

```kotlin
fun main() {
    val numero = 10
    when (numero) {
        1 -> println(""Es el número 1"")
        2, 3 -> println(""Es un número entre 2 y 3"")
        in 5..10 -> println(""Está en el rango de 5 a 10"")
        else -> println(""No coincide con ninguna c",7,0.571,0.87,0.5,0.667,0.667,0.817,29.0,
10,M2,code,medium,"Escribe una función `clasificarEdad(edad: Int): String` que retorne ""Niño"" si <12, ""Adolescente"" si 12-17, ""Adulto"" si >=18.","El material del curso no cubre el diseño de funciones en Kotlin para clasificar edades según rangos específicos. Sin embargo, puedo proporcionarte una implementación basada en la lógica que se menciona:

```kotlin
fun clasificarEdad(edad: Int): String {
    if (edad < 12) {
        return ""Niño""
    } else if (edad in 12..17) {
        return ""Adolescente""
    } else {
        return ""Adulto""
    }
}
```

Esta función toma un parámetro `edad` de tipo `Int` y retorna una cadena que clasifica la e",7,0.5,0.727,0.5,0.136,0.667,0.585,26.6,
