id,module,type,difficulty,question,answer,n_contexts,faithfulness,answer_relevancy,context_precision,context_recall,context_entities_recall,answer_correctness,elapsed_s,error
1,M1,conceptual,easy,¿Cuáles son los requisitos mínimos de hardware para instalar Android Studio?,"Según el material del curso, los requisitos mínimos de hardware para instalar Android Studio son:

- 8 GB de RAM mínimo (aunque se recomienda 16 GB)
- 10 GB de espacio en disco mínimo

Estos requisitos se mencionan consistentemente en varios fragmentos del contexto proporcionado.",7,0.667,0.832,0.5,0.6,0.8,0.604,40.2,
2,M1,conceptual,easy,¿Qué carpeta del proyecto Android contiene los recursos XML de layouts?,"Según el contexto proporcionado, los archivos de layout XML se encuentran dentro de la carpeta `res/` del proyecto Android. Específicamente, los archivos de diseño de las pantallas o layouts se guardan en la subcarpeta `res/layout/`. Estos archivos tienen extensiones `.xml` y son fundamentales para definir cómo se verán las interfaces de usuario en tu aplicación.",7,1.0,0.918,0.518,0.75,0.3,0.826,25.6,
3,M1,conceptual,medium,¿Qué es una Activity en Android y cuál es su rol principal?,"Una activity en Android representa una interacción única con el usuario, como una pantalla o una ventana donde se muestra contenido y con la que el usuario puede interactuar. Según el material del curso, el rol principal de una activity incluye:

1. **Definición de Interfaz de Usuario**: La activity utiliza principalmente XML para definir su interfaz de usuario a través del método `setContentView(R.layout.activity_main)`. Esto carga un archivo XML que contiene la estructura y diseño de la pantal",7,0.625,0.77,0.375,0.75,0.875,0.869,33.0,
4,M1,application,medium,¿En qué método del ciclo de vida debo liberar recursos pesados como conexiones de red antes de que la Activity se destruya?,"Para liberar recursos pesados como conexiones de red antes de que la actividad se destruya, debes hacerlo en el método `onDestroy()`. Este método es llamado justo antes de que la actividad sea destruida permanentemente y es adecuado para liberar toda la memoria y cerrar conexiones.

En el contexto del curso, se menciona que `onDestroy()` se utiliza ""para liberar toda la memoria, cerrar conexiones, guardar datos"". Es importante realizar estas acciones en `onDestroy()` para asegurar que los recurs",7,0.75,0.809,0.692,0.75,1.0,0.788,27.3,
5,M1,application,easy,¿Cómo creo un nuevo emulador Android (AVD) desde Android Studio?,"Para crear un nuevo emulador Android (AVD) en Android Studio, sigue estos pasos basados en el material del curso:

1. Abre AVD Manager (Android Virtual Device Manager). Este panel se encuentra en la barra lateral izquierda de Android Studio.

2. Haz clic en ""Create Virtual Device"" para iniciar el proceso de creación de un nuevo dispositivo virtual.

3. Selecciona un sistema operativo para tu emulador, que puede ser una versión específica de Android o incluso iOS si lo necesitas.

4. Configura la",7,0.75,0.828,0.735,0.8,0.75,0.706,33.0,
6,M1,conceptual,medium,¿Qué es el archivo build.gradle.kts (Module) y qué contiene?,"El archivo `build.gradle.kts` (nivel módulo) es un archivo de configuración utilizado en proyectos de Kotlin para gestionar dependencias, tareas y propiedades del proyecto. Según el contexto proporcionado, este archivo se utiliza para agregar dependencias necesarias como las bibliotecas de Material Design y Core KTX.

En el `build.gradle.kts` (nivel módulo), puedes encontrar declaraciones que incluyen:

```kotlin
implementation 'com.google.android.material:material:1.11.0'
implementation 'androi",7,0.625,0.916,0.583,0.8,0.556,0.604,33.3,
7,M2,conceptual,easy,¿Cuál es la diferencia entre `val` y `var` en Kotlin?,"En Kotlin, `val` se utiliza para declarar variables inmutables, lo que significa que una vez que se les asigna un valor, no pueden ser reasignadas. Por ejemplo:

```kotlin
val nombre = ""María""    // Inmutable (no se puede cambiar)
```

`var`, por otro lado, se utiliza para declarar variables mutables, las cuales pueden ser reasignadas con nuevos valores durante la ejecución del programa. Un ejemplo de esto sería:

```kotlin
var edad = 20           // Mutable (se puede cambiar)

edad = 21        ",7,0.714,0.906,0.791,0.4,0.714,0.811,39.8,
8,M2,code,easy,Escribe un programa Kotlin que declare una variable `nombre` inmutable con tu nombre y la imprima.,"Según el material del curso, puedes declarar una variable inmutable en Kotlin utilizando la palabra clave `val`. Aquí te proporciono un ejemplo de cómo podrías escribir este programa:

```kotlin
fun main() {
    val nombre = ""Juan Pérez""  // Declaramos una variable inmutable con tu nombre
    println(""Nombre: $nombre"")  // Imprimimos el valor de la variable
}
```

En este código, `val nombre` es declarada como una variable inmutable. Esto significa que su valor no puede ser cambiado después de l",7,1.0,0.881,0.639,0.75,1.0,0.206,22.4,
9,M2,conceptual,medium,¿Cómo se usa el `when` en Kotlin y qué ventaja tiene sobre `switch` de Java?,"En Kotlin, la estructura `when` es una forma poderosa y flexible para realizar comprobaciones condicionales. Se puede usar tanto como un equivalente a `switch` de Java, pero ofrece funcionalidades adicionales que lo hacen más versátil.

La sintaxis básica del `when` en Kotlin se parece al `switch` de Java:

```kotlin
val dia = 3

when (dia) {
    1 -> println(""Lunes"")
    2 -> println(""Martes"")
    3 -> println(""Miércoles"")
    else -> println(""Otro día"")
}
```

En este ejemplo, `when` evalúa la",7,0.625,0.884,0.719,0.667,0.333,,37.8,the input length exceeds the context length (status code: 400)
10,M2,code,medium,"Escribe una función `clasificarEdad(edad: Int): String` que retorne ""Niño"" si <12, ""Adolescente"" si 12-17, ""Adulto"" si >=18.","El material del curso no cubre la implementación de funciones complejas como la solicitada en tu pregunta. Sin embargo, puedo explicar cómo podrías implementar esta función utilizando el conocimiento que se ha cubierto hasta ahora.

Para clasificar la edad según los rangos proporcionados, puedes utilizar un condicional múltiple (if-else if) o una serie de condiciones anidadas. Aquí te muestro cómo podrías hacerlo con un condicional múltiple:

```kotlin
fun clasificarEdad(edad: Int): String {
   ",7,0.625,0.664,0.393,0.56,0.667,0.581,40.7,
11,M2,conceptual,medium,¿Qué diferencia hay entre `for (i in 1..10)` y `for (i in 1 until 10)` en Kotlin?,"El material del curso no cubre la diferencia específica entre `for (i in 1..10)` y `for (i in 1 until 10)`. Sin embargo, puedo explicar que ambas formas de bucle `for` se utilizan comúnmente en Kotlin para iterar sobre rangos de valores.

En general:
- `for (i in 1..10)` incluye el valor final del rango, es decir, `i` tomará los valores desde 1 hasta 10 inclusive.
- `for (i in 1 until 10)` excluye el valor final del rango, por lo que `i` tomará los valores desde 1 hasta 9.

Para una explicación ",7,0.75,0.909,0.664,0.6,0.5,0.601,35.0,
12,M2,conceptual,medium,¿Qué es una función lambda en Kotlin y cómo se declara?,"Una función lambda en Kotlin es una forma concisa de definir funciones anónimas, es decir, funciones sin nombre que pueden ser utilizadas como variables. Estas funciones son especialmente útiles cuando se requiere pasar un bloque de código a otra función o almacenarlo para su uso posterior.

En Kotlin, se declara una función lambda utilizando el símbolo `{}` y especificando los parámetros entre paréntesis seguidos por un flecha `->` que indica la expresión que se ejecutará. Por ejemplo:

```kotl",7,0.8,0.974,0.841,0.75,0.8,0.803,33.9,
13,M2,code,medium,"Usando `filter` y `map`, transforma la lista `[1,2,3,4,5]` para obtener los cuadrados de los números pares.","Para transformar la lista `[1, 2, 3, 4, 5]` para obtener los cuadrados de los números pares utilizando `filter` y `map`, puedes seguir estos pasos:

1. Filtrar primero los elementos pares.
2. Luego aplicar `map` para calcular el cuadrado de esos elementos.

Aquí tienes un ejemplo basado en el contexto proporcionado:

```kotlin
val numeros = listOf(1, 2, 3, 4, 5)
val cuadradosPares = numeros.filter { it % 2 == 0 }.map { it * it }
println(cuadradosPares)  // [4, 16]
```

En este código:
- `filter ",7,0.6,0.806,0.675,0.667,0.714,0.959,27.3,
14,M2,code,easy,¿Cómo se declara una clase con constructor primario en Kotlin?,"Según el material del curso proporcionado, para declarar una clase con un constructor primario en Kotlin, debes seguir estos pasos:

```kotlin
class Nombre(val propiedad1: Tipo1, var propiedad2: Tipo2) {
  // Cuerpo de la clase
}
```

En este ejemplo, `Nombre` es el nombre de la clase. Las propiedades del constructor se declaran con `val` para que sean inmutables o con `var` para que puedan ser modificadas después de su inicialización.

Es importante notar que el material del curso no menciona e",7,0.5,0.923,0.616,0.5,1.0,0.811,27.4,
15,M2,conceptual,medium,¿Por qué las clases en Kotlin son `final` por defecto y cómo las hago heredables?,"En Kotlin, las clases son cerradas (final) por defecto para promover la seguridad y la estabilidad del código. Esto significa que no pueden ser heredadas sin especificar explícitamente que una clase es heredable mediante el uso de la palabra clave `open`.

Para hacer una clase heredable en Kotlin, se debe usar la palabra clave `open` antes de la declaración de la clase. Por ejemplo:

```kotlin
open class Animal(val nombre: String) {
    open fun hacerSonido(): String = ""...""

    fun presentarse",7,0.5,0.93,0.758,0.4,0.875,0.82,28.4,
16,M2,conceptual,medium,¿Qué beneficios da una `data class` en Kotlin y cuándo usarla?,"Una data class en Kotlin ofrece varios beneficios que la hacen útil para ciertas situaciones específicas:

1. **Almacenamiento de Datos**: Su principal objetivo es representar modelos o entidades, principalmente atributos sin lógica compleja.

2. **Automatización de Métodos Útiles**: Automáticamente genera métodos como `equals()`, `hashCode()`, `toString()` y `copy()`. Esto reduce la necesidad de escribir código repetitivo para estas operaciones comunes.

3. **Modelado de Datos Estructurados**: ",7,0.75,0.937,0.771,0.625,0.8,0.876,28.5,
17,M2,code,hard,Diseña una interfaz `Vehiculo` con método `arrancar()` y crea dos clases `Auto` y `Moto` que la implementen.,"El material del curso no cubre el diseño de interfaces en Kotlin, ya que los fragmentos proporcionados se centran principalmente en la herencia y polimorfismo a través de clases base y derivadas. Sin embargo, puedo explicar cómo podrías diseñar una interfaz `Vehiculo` con un método `arrancar()` y crear las clases `Auto` y `Moto` que la implementen basándome en conceptos similares a los que se han cubierto.

Primero, definiríamos la interfaz `Vehiculo`:

```kotlin
interface Vehiculo {
    fun arr",7,0.833,0.841,0.594,0.263,1.0,,38.7,the input length exceeds the context length (status code: 400)
18,M2,application,hard,¿Qué es el polimorfismo y cómo lo aplicarías en una app Android?,"El polimorfismo es un principio fundamental de la programación orientada a objetos que permite que una misma operación se comporte de diferentes maneras según el tipo de objeto que la invoque. En Kotlin, se logra principalmente mediante la herencia y el uso de métodos sobrescritos (override).

En el contexto de una aplicación Android, puedes aplicar el polimorfismo para reutilizar código evitando duplicaciones, permitir que una función trabaje con objetos de diferentes clases de manera genérica,",7,0.625,0.855,0.63,0.667,0.5,0.805,35.6,
19,M2,conceptual,medium,¿Qué es el operador `?.` (safe call) en Kotlin?,"El operador `?.` en Kotlin se conoce como llamada segura y se utiliza para evitar errores de nullability al acceder a propiedades o métodos de una variable que puede ser nula. Según el material del curso, se menciona que este operador permite realizar operaciones sobre variables y valores sin arrojar excepciones si la variable es `null`.

En resumen, el uso del operador `?.` es fundamental para manejar variables nullable de manera segura en Kotlin, evitando errores de tiempo de ejecución relacio",7,0.75,0.844,0.5,0.667,0.5,0.796,27.8,
20,M3,conceptual,medium,¿Cuáles son los layouts más comunes en Android y sus usos?,"En Android, los layouts más comunes son `LinearLayout`, `RelativeLayout` y `ConstraintLayout`. Cada uno tiene su propósito y se utiliza según las necesidades específicas del diseño de la interfaz.

1. **LinearLayout**: Este layout dispone los elementos en una línea horizontal o vertical. Es útil cuando se desea organizar los elementos de manera lineal, ya sea en una fila o en una columna. Se define a través de atributos como `android:orientation`, que permite especificar si los elementos deben e",7,0.625,0.854,0.63,0.667,0.6,0.728,32.2,
