id,module,type,difficulty,question,answer,n_contexts,faithfulness,answer_relevancy,context_precision,context_recall,elapsed_s,error
1,M1,conceptual,easy,¿Cuáles son los requisitos mínimos de hardware para instalar Android Studio?,"Para instalar Android Studio, es importante tener en cuenta los requisitos mínimos de hardware recomendados por Google. Según el contexto proporcionado:

- **Sistema Operativo**: Windows 10/11 (64 bits) o macOS 10.14 (Mojave) o superior.
- **Procesador**: El sistema operativo debe ser compatible con el procesador, ya sea Apple Silicon o Intel para macOS, y no hay especificaciones adicionales del procesador mencionadas.
- **Memoria RAM**: Al menos 8 GB de RAM son necesarios. Se recomienda tener 1",5,1.0,0.903,0.25,0.75,35.0,
2,M1,conceptual,easy,¿Qué carpeta del proyecto Android contiene los recursos XML de layouts?,"En un proyecto Android, los archivos de diseño XML para los layouts se encuentran en la carpeta `res/layout/`. Esta carpeta es donde defines cómo se verán las interfaces de usuario de tus actividades (`Activities`). Cada archivo XML en esta carpeta representa una pantalla o fragmento de pantalla que tu aplicación mostrará.

Por ejemplo, el archivo `activity_main.xml` que mencionaste anteriormente probablemente se encuentra en la ruta `res/layout/activity_main.xml`.

Aquí tienes un ejemplo prácti",5,1.0,0.908,0.2,0.75,26.2,
3,M1,conceptual,medium,¿Qué es una Activity en Android y cuál es su rol principal?,"Una **Activity** en Android representa una pantalla interactiva en tu aplicación, similar a las páginas de un sitio web. Su rol principal es proporcionar una interfaz de usuario para que el usuario interactúe con la aplicación.

En términos más técnicos, cada Activity se encarga de mostrar contenido y responder a los eventos del usuario, como toques en pantalla o acciones específicas. Por ejemplo, si tu aplicación tiene una pantalla de inicio, una pantalla de detalles de producto y un menú princ",5,1.0,0.873,0.367,1.0,24.8,
4,M1,application,medium,¿En qué método del ciclo de vida debo liberar recursos pesados como conexiones de red antes de que la Activity se destruya?,"Para liberar recursos pesados como conexiones de red, es recomendable hacerlo en el método `onPause()` o `onDestroy()`. Sin embargo, generalmente es una práctica más segura y eficiente realizar esta operación en `onPause()` ya que este método se llama incluso si la Activity vuelve a estar en primer plano. Aquí te muestro un ejemplo de cómo podrías liberar una conexión de red en el método `onPause()`:

```kotlin
override fun onPause() {
    super.onPause()
    
    // Ejemplo de liberación de rec",5,0.5,0.799,0.25,1.0,37.5,
5,M1,application,easy,¿Cómo creo un nuevo emulador Android (AVD) desde Android Studio?,"Para crear un nuevo emulador Android (AVD) en Android Studio, sigue estos pasos detallados:

1. **Abre el AVD Manager**:
   - Ve a `Tools → Device Manager` o busca la opción ""Device Manager"" en la barra lateral de Android Studio.

2. **Haz clic en 'Create Virtual Device'**:
   - En el AVD Manager, encontrarás un botón que dice ""Create Virtual Device"". Haz clic en él para iniciar el proceso de creación del emulador.

3. **Selecciona un dispositivo virtual**:
   - En la ventana que se abre, selecc",5,0.875,0.919,0.333,0.8,42.4,
6,M1,conceptual,medium,¿Qué es el archivo build.gradle.kts (Module) y qué contiene?,"El archivo `build.gradle.kts` (Module) es un archivo de configuración crucial en la construcción y gestión del proyecto Android. Este archivo define las dependencias, propiedades y tareas que se requieren para compilar y ejecutar tu aplicación.

En el contexto de nuestro curso, este archivo contiene información sobre cómo se va a compilar y ejecutar tu módulo de aplicación. Aquí te explico su contenido básico:

1. **Dependencias**: Especifica las bibliotecas externas que tu proyecto necesita par",5,0.75,0.888,1.0,0.6,49.4,
7,M2,conceptual,easy,¿Cuál es la diferencia entre `val` y `var` en Kotlin?,"En Kotlin, `val` y `var` son palabras clave utilizadas para declarar variables, pero con diferencias cruciales en cuanto a su mutabilidad.

`val` se utiliza para declarar una variable inmutable. Una vez que se inicializa, el valor de la variable no puede ser cambiado. Esto significa que una vez asignada, `val` permanece constante durante toda la ejecución del programa. Por ejemplo:

```kotlin
val nombre = ""María""    // Inmutable (no se puede cambiar)
```

`var`, por otro lado, se utiliza para de",5,0.875,0.897,1.0,1.0,32.0,
8,M2,code,easy,Escribe un programa Kotlin que declare una variable `nombre` inmutable con tu nombre y la imprima.,"Claro! Vamos a escribir un pequeño programa en Kotlin donde declararemos una variable `nombre` como inmutable (`val`) con tu nombre, y luego la imprimiremos.

Aquí tienes el código:

```kotlin
// Declaramos la variable nombre como inmutable (val) y le asignamos tu nombre
val nombre = ""Juan Pérez""

// Imprimimos el valor de la variable nombre
println(""Mi nombre es $nombre"")
```

Este programa declara una variable `nombre` con tu nombre, que en este caso es ""Juan Pérez"". Como se declaró como inmut",5,0.5,0.891,0.5,0.333,23.8,
9,M2,conceptual,medium,¿Cómo se usa el `when` en Kotlin y qué ventaja tiene sobre `switch` de Java?,"¡Hola! En Kotlin, el operador `when` es una estructura condicional muy poderosa que ofrece varias ventajas sobre el `switch` de Java. Permite realizar múltiples comprobaciones de manera concisa y elegante.

El `when` en Kotlin puede funcionar como un `switch`, pero también puede ser utilizado para patrones más complejos, como comparaciones de objetos o listas de valores. Aquí te muestro cómo se usa y cuáles son sus ventajas:

### Sintaxis básica del `when`

```kotlin
val dia = 3

// Similar a un",5,0.857,0.88,0.5,0.2,43.8,
10,M2,code,medium,"Escribe una función `clasificarEdad(edad: Int): String` que retorne ""Niño"" si <12, ""Adolescente"" si 12-17, ""Adulto"" si >=18.","¡Claro! Vamos a implementar la función `clasificarEdad` utilizando el lenguaje Kotlin y las estructuras de control que hemos estudiado.

Podemos usar un `when` para este caso, ya que es una forma versátil y legible de manejar múltiples condiciones. Aquí tienes el código:

```kotlin
fun clasificarEdad(edad: Int): String {
    return when (edad) {
        in 0..11 -> ""Niño""
        in 12..17 -> ""Adolescente""
        else -> ""Adulto""
    }
}
```

### Explicación:
- `when` se utiliza para evaluar un",5,0.714,0.681,0.333,1.0,40.7,
