id,module,type,difficulty,question,answer,n_contexts,faithfulness,answer_relevancy,context_precision,context_recall,elapsed_s,error
1,M1,conceptual,easy,¿Cuáles son los requisitos mínimos de hardware para instalar Android Studio?,"Según el material del curso, los requisitos mínimos de hardware para instalar Android Studio son:

- **Windows**: 8 GB de RAM mínimo (16 GB recomendado) y 8 GB de espacio en disco mínimo.
- **macOS**: 8 GB de RAM mínimo.

Es importante tener en cuenta que estos requisitos pueden variar según las actualizaciones más recientes del software, pero el material proporcionado indica estos valores como mínimos.",5,0.5,0.847,0.25,0.75,33.2,
2,M1,conceptual,easy,¿Qué carpeta del proyecto Android contiene los recursos XML de layouts?,"Según el material del curso, los archivos XML que definen los layouts se encuentran en la carpeta `res/layout/` de tu proyecto Android. Estos archivos son cruciales para definir la interfaz visual de cada pantalla de tu aplicación.",5,1.0,0.917,0.2,0.75,25.7,
3,M1,conceptual,medium,¿Qué es una Activity en Android y cuál es su rol principal?,"Una **Activity** en Android representa una pantalla individual de la interfaz de usuario, como un login, lista de productos o detalle. Su rol principal es proporcionar una unidad de interacción con el usuario, donde se puede mostrar contenido y responder a los eventos del usuario.

Según el material del curso, cada Activity tiene su propio ciclo de vida que incluye métodos como `onCreate()`, `onStart()`, `onResume()`, entre otros. Estos métodos permiten controlar la inicialización, visualización",5,1.0,0.888,0.367,1.0,35.6,
4,M1,application,medium,¿En qué método del ciclo de vida debo liberar recursos pesados como conexiones de red antes de que la Activity se destruya?,"Según el material del curso, en el método `onDestroy()` es donde deberías liberar recursos pesados como conexiones de red. Este método se ejecuta justo antes de que la Activity sea destruida y es un buen lugar para realizar operaciones finales, como liberar recursos que consumen mucho memoria.

Aquí tienes un ejemplo basado en el código proporcionado:

```kotlin
override fun onDestroy() {
    super.onDestroy()
    Log.d(""CicloVida"", ""onDestroy - Liberando recursos"")
    
    // Ejemplo de libera",5,0.6,0.798,0.25,1.0,32.0,
5,M1,application,easy,¿Cómo creo un nuevo emulador Android (AVD) desde Android Studio?,"Para crear un nuevo emulador Android (AVD) en Android Studio, sigue estos pasos basados en el material del curso:

1. Abre **AVD Manager** desde el menú principal de Android Studio: `Tools → Device Manager`.

2. Haz clic en **""Create Virtual Device""** para iniciar el proceso de creación.

3. Selecciona un modelo de dispositivo virtual (recomendado: **Pixel 6**).

4. Elige una imagen del sistema operativo (recomendado: **API 33 - Tiramisu**).

5. Configura la RAM asignada al emulador (recomendado",5,1.0,0.871,0.333,0.8,34.4,
6,M1,conceptual,medium,¿Qué es el archivo build.gradle.kts (Module) y qué contiene?,"El archivo `build.gradle.kts` (Module) es un archivo de configuración utilizado en proyectos Android que se basan en la sintaxis Kotlin para definir las dependencias, propiedades y tareas del módulo. Este archivo no está mencionado explícitamente en el contexto proporcionado, pero podemos inferir su contenido a partir de otros fragmentos.

Según el contexto, este archivo probablemente contenga configuraciones relacionadas con las dependencias necesarias para tu aplicación Android. Aunque no se i",5,0.833,0.928,1.0,0.6,39.9,
7,M2,conceptual,easy,¿Cuál es la diferencia entre `val` y `var` en Kotlin?,"En Kotlin, `val` se utiliza para declarar variables inmutables, lo que significa que una vez que se inicializa con un valor, no puede ser reasignada. Por ejemplo:

```kotlin
val nombre = ""María""
```

`var`, por otro lado, se utiliza para declarar variables mutables, las cuales pueden ser reasignadas después de su inicialización. Un ejemplo es el siguiente:

```kotlin
var edad = 20
edad = 21
```

La principal diferencia radica en la inmutabilidad: `val` garantiza que una variable no cambie su val",5,1.0,0.781,1.0,1.0,33.9,
8,M2,code,easy,Escribe un programa Kotlin que declare una variable `nombre` inmutable con tu nombre y la imprima.,"En Kotlin, puedes declarar una variable `val` para almacenar un valor inmutable. Según el contexto proporcionado, aquí tienes cómo declarar una variable `val` con tu nombre e imprimirlo:

```kotlin
val nombre = ""Juan Pérez""  // Declaramos la variable `nombre` como inmutable (val) y le asignamos el valor ""Juan Pérez"".
println(""Mi nombre es $nombre"")  // Imprimimos el valor de la variable `nombre`.
```

Este código declara una variable `val` llamada `nombre` con tu nombre, en este caso ""Juan Pérez",5,0.5,0.904,0.5,0.333,23.9,
9,M2,conceptual,medium,¿Cómo se usa el `when` en Kotlin y qué ventaja tiene sobre `switch` de Java?,"En Kotlin, la expresión `when` es una estructura condicional que proporciona una sintaxis más flexible y poderosa comparada con el `switch` de Java. Según el contexto del curso, se menciona que `when` es más potente que `switch`.

La expresión `when` en Kotlin puede ser utilizada para evaluar múltiples condiciones y realizar acciones basadas en los resultados. Por ejemplo:

```kotlin
val dia = 3

val mensaje = when (dia) {
    1 -> ""Lunes""
    2 -> ""Martes""
    3 -> ""Miércoles""
    else -> ""Día ",5,0.833,0.894,0.5,0.2,39.1,
10,M2,code,medium,"Escribe una función `clasificarEdad(edad: Int): String` que retorne ""Niño"" si <12, ""Adolescente"" si 12-17, ""Adulto"" si >=18.","El material del curso no cubre la implementación de funciones complejas como la solicitada en Kotlin. Sin embargo, puedo explicar cómo podrías implementar esta función basándome en el conocimiento general de Kotlin, pero es importante mencionar que este código no está respaldado por el contexto proporcionado.

```kotlin
fun clasificarEdad(edad: Int): String {
    if (edad < 12) return ""Niño""
    else if (edad in 12..17) return ""Adolescente""
    else return ""Adulto""
}
```

Esta función utiliza el",5,0.143,0.718,0.333,1.0,37.2,
