id,module,type,difficulty,question,answer,n_contexts,faithfulness,answer_relevancy,context_precision,context_recall,context_entities_recall,answer_correctness,elapsed_s,error
1,M1,conceptual,easy,¿Cuáles son los requisitos mínimos de hardware para instalar Android Studio?,"Según el material del curso, los requisitos mínimos de hardware para instalar Android Studio son:

- Windows 10/11 (64 bits)
- 8 GB de RAM mínimo
- 8 GB de espacio en disco mínimo
- Resolución de pantalla: 1280 x 800 mínimo

Es importante mencionar que se recomienda tener más RAM, específicamente 16 GB, para una mejor experiencia de uso.",7,0.6,0.894,0.5,0.6,0.8,0.773,32.0,
2,M1,conceptual,easy,¿Qué carpeta del proyecto Android contiene los recursos XML de layouts?,"Según el material del curso, la carpeta que contiene los recursos XML de layouts en un proyecto Android es `res/`. Específicamente, se menciona que esta carpeta incluye ""Recursos de la aplicación (layouts, imágenes, valores)"".",7,1.0,0.901,0.622,0.6,0.3,0.214,22.0,
3,M1,conceptual,medium,¿Qué es una Activity en Android y cuál es su rol principal?,"Una activity en Android representa una interacción única con el usuario, como una pantalla o una ventana que muestra contenido y permite al usuario interactuar con él. En el contexto del curso de Aplicaciones Móviles del IESTP RFA, se define que la activity es inicializada en el método `onCreate(savedInstanceState: Bundle?)`, donde se cargan los recursos necesarios para su interfaz de usuario.

El rol principal de una activity es proporcionar un punto central para la interacción del usuario con ",7,0.75,0.814,0.519,0.5,0.875,0.764,25.9,
4,M1,application,medium,¿En qué método del ciclo de vida debo liberar recursos pesados como conexiones de red antes de que la Activity se destruya?,"Según el contexto proporcionado, para liberar recursos pesados como conexiones de red antes de que la Activity se destruya, debes hacerlo en el método `onDestroy()`.

El `onDestroy()` es llamado justo antes de que la Activity sea destruida y no volverá a ser invocado. Es un buen lugar para realizar operaciones finales, como liberar recursos que ya no se van a usar, como conexiones de red o objetos que consumen memoria.

```kotlin
override fun onDestroy() {
    super.onDestroy()
    // Liberar re",7,1.0,0.796,0.5,0.667,1.0,0.578,30.1,
5,M1,application,easy,¿Cómo creo un nuevo emulador Android (AVD) desde Android Studio?,"Para crear un nuevo emulador Android (AVD) en Android Studio, sigue estos pasos:

1. Abre el AVD Manager (Android Virtual Device Manager). Puedes acceder a este menú seleccionando `Tools > AVD Manager` en la barra de menús superior.

2. Haz clic en el botón `Create Virtual Device...`.

3. Selecciona un dispositivo virtual que se ajuste a tus necesidades o crea uno nuevo desde cero. Puedes elegir entre varios modelos de dispositivos virtuales disponibles.

4. Configura las especificaciones del em",7,0.5,0.923,0.679,0.636,0.5,0.747,32.4,
6,M1,conceptual,medium,¿Qué es el archivo build.gradle.kts (Module) y qué contiene?,"El archivo `build.gradle.kts` (Module) es un archivo de configuración crucial en la construcción y gestión del proyecto Android utilizando Kotlin DSL (Domain Specific Language). Este archivo se encuentra dentro del módulo principal de tu proyecto y define las dependencias, configuraciones y otras propiedades necesarias para el correcto funcionamiento del mismo.

En el contexto proporcionado, este archivo contiene información sobre la `compileSdk`, que es la versión más reciente de Android a la c",7,0.75,0.902,0.5,0.2,0.556,0.831,34.8,
7,M2,conceptual,easy,¿Cuál es la diferencia entre `val` y `var` en Kotlin?,"En Kotlin, `val` y `var` son modificadores de variable que definen si una variable es mutable o inmutable.

`val` se utiliza para declarar variables inmutables. Una vez que un valor se asigna a una variable declarada con `val`, no puede ser cambiado. Esto significa que la variable solo puede ser inicializada una vez y su valor permanecerá constante durante toda la ejecución del programa.

```kotlin
val nombre = ""Giancarlos""
// nombre = ""Juan"" // Esto generaría un error de compilación
```

`var`,",7,0.5,0.836,0.341,0.545,0.714,0.811,36.0,
8,M2,code,easy,Escribe un programa Kotlin que declare una variable `nombre` inmutable con tu nombre y la imprima.,"En Kotlin, puedes declarar una variable `nombre` como inmutable utilizando la palabra clave `val`. Dado el contexto del curso, aquí está cómo podrías hacerlo:

```kotlin
val nombre = ""Carlos""
println(""Mi nombre es $nombre"")
```

Este código declara una variable `nombre` que almacena tu nombre y luego imprime un mensaje que incluye ese valor. Como la variable fue declarada como `val`, su valor no puede ser cambiado posteriormente en el programa.

Es importante seguir las buenas prácticas menciona",7,1.0,0.905,0.755,0.727,1.0,0.58,21.0,
9,M2,conceptual,medium,¿Cómo se usa el `when` en Kotlin y qué ventaja tiene sobre `switch` de Java?,"En Kotlin, la instrucción `when` es una forma poderosa y flexible para manejar múltiples condiciones. Se utiliza principalmente como un reemplazo avanzado del `switch` de Java.

La sintaxis básica de `when` en Kotlin se ve así:

```kotlin
fun main() {
    val numero = 10
    when (numero) {
        1 -> println(""Es el número 1"")
        2, 3 -> println(""Es un número entre 2 y 3"")
        in 5..9 -> println(""Está en el rango de 5 a 9"")
        else -> println(""No coincide con ninguna condición an",7,0.75,0.901,0.5,0.667,0.667,0.84,36.4,
10,M2,code,medium,"Escribe una función `clasificarEdad(edad: Int): String` que retorne ""Niño"" si <12, ""Adolescente"" si 12-17, ""Adulto"" si >=18.","El material del curso no cubre el desarrollo de funciones en Kotlin o la implementación de condicionales anidados para clasificar edades. Sin embargo, puedo proporcionarte una descripción conceptual basada en lo que se ha cubierto.

Para clasificar la edad de una persona según las categorías mencionadas, podríamos utilizar estructuras condicionales simples. Aquí tienes un ejemplo de cómo podrías implementar esto:

```kotlin
fun clasificarEdad(edad: Int): String {
    if (edad < 12) {
        ret",7,0.571,0.681,0.5,0.136,0.667,0.583,35.7,
11,M2,conceptual,medium,¿Qué diferencia hay entre `for (i in 1..10)` y `for (i in 1 until 10)` en Kotlin?,"El material del curso no cubre la diferencia específica entre `for (i in 1..10)` y `for (i in 1 until 10)` en Kotlin. Sin embargo, puedo explicar brevemente la diferencia:

`for (i in 1..10)` genera un rango que incluye el valor inicial (1) y el valor final (10), es decir, los valores generados serán 1, 2, 3, ..., 9, 10.

`for (i in 1 until 10)` genera un rango que comienza en el valor inicial (1) pero excluye el valor final (10), por lo que los valores generados serán 1, 2, 3, ..., 8, 9.

Para ",7,0.667,0.799,0.317,0.6,0.875,0.594,29.4,
12,M2,conceptual,medium,¿Qué es una función lambda en Kotlin y cómo se declara?,"Una función lambda en Kotlin es un tipo de función anónima que permite encapsular una expresión o una declaración de instrucciones en un valor. Este valor puede ser asignado a una variable, pasado como argumento a otra función (en el caso de funciones de orden superior) y almacenado en estructuras de datos.

En Kotlin, se declara una función lambda utilizando la sintaxis `{ parámetros -> expresión }`. Por ejemplo:

```kotlin
val suma = { a: Int, b: Int -> a + b }
```

Aquí, `suma` es una variabl",7,0.875,0.953,0.834,0.75,0.8,0.852,31.2,
13,M2,code,medium,"Usando `filter` y `map`, transforma la lista `[1,2,3,4,5]` para obtener los cuadrados de los números pares.","Para transformar la lista `[1, 2, 3, 4, 5]` para obtener los cuadrados de los números pares utilizando `filter` y `map`, primero filtramos los elementos pares y luego aplicamos una función que calcule el cuadrado de cada uno de estos elementos. Aquí está cómo se hace:

```kotlin
val numeros = listOf(1, 2, 3, 4, 5)
val cuadradosPares = numeros.filter { it % 2 == 0 }.map { it * it }
println(cuadradosPares) // [4, 16]
```

En este código, `filter` se utiliza para seleccionar solo los números pares ",7,0.5,0.783,0.5,0.429,0.714,0.967,40.6,
14,M2,code,easy,¿Cómo se declara una clase con constructor primario en Kotlin?,"En Kotlin, para declarar una clase con un constructor primario, puedes seguir el siguiente formato basado en los fragmentos del contexto proporcionados:

```kotlin
class NombreClase(
  // Parámetros del constructor
) {
  // Cuerpo de la clase
}
```

El constructor primario se declara directamente dentro de la definición de la clase, entre paréntesis y antes del cuerpo de la clase. Estos parámetros pueden ser inicializados con `val` o `var`, dependiendo si deseas que sean constantes o variables.
",7,0.8,0.936,0.582,0.5,0.778,0.83,24.8,
15,M2,conceptual,medium,¿Por qué las clases en Kotlin son `final` por defecto y cómo las hago heredables?,"En el contexto del curso de Aplicaciones Móviles del IESTP RFA, se menciona que ""Las clases no son heredables por defecto"" en Kotlin. Esto significa que, por defecto, todas las clases en Kotlin están marcadas con la palabra clave `final`, lo cual impide que estas clases sean heredadas.

Para hacer una clase heredable en Kotlin, es necesario utilizar la palabra clave `open` antes de declarar la clase. Esta palabra clave permite que la clase sea abierta para la herencia, permitiendo a otras clases",7,0.667,0.937,0.387,0.4,0.714,0.825,24.7,
16,M2,conceptual,medium,¿Qué beneficios da una `data class` en Kotlin y cuándo usarla?,"Las data classes en Kotlin son útiles para modelar datos estructurados, como usuarios, productos o pedidos, y ofrecen varios beneficios que facilitan el desarrollo de aplicaciones. Según el material del curso, estas clases permiten:

1. **Reducir la escritura de código repetitivo**: Las data classes generan automáticamente métodos como `equals()`, `hashCode()`, `toString()` y `copy()`. Esto evita la necesidad de escribir estos métodos manualmente, lo que mejora la eficiencia del desarrollo.

2. ",7,0.625,0.837,0.684,0.625,0.8,,35.3,the input length exceeds the context length (status code: 400)
17,M2,code,hard,Diseña una interfaz `Vehiculo` con método `arrancar()` y crea dos clases `Auto` y `Moto` que la implementen.,"Según el contexto del curso, no se ha proporcionado un fragmento específico sobre la creación de una interfaz `Vehiculo` ni sobre las clases derivadas `Auto` y `Moto`. Sin embargo, puedo explicar cómo podrías implementarlo basándome en los conceptos que sí se han cubierto.

Para diseñar una interfaz `Vehiculo` con el método `arrancar()` y crear clases derivadas `Auto` y `Moto`, puedes seguir estos pasos:

1. **Definir la Interfaz Vehiculo**: Esta interfaz contendrá el método `arrancar()`.
2. **C",7,0.25,0.8,0.65,0.267,0.75,,39.4,the input length exceeds the context length (status code: 400)
18,M2,application,hard,¿Qué es el polimorfismo y cómo lo aplicarías en una app Android?,"El polimorfismo es un principio fundamental de programación orientada a objetos que permite que un objeto se comporte de diferentes maneras dependiendo del contexto en el que se utilice. En el marco del curso de Aplicaciones Móviles, el polimorfismo se utiliza para reutilizar código evitando duplicaciones y permitir que una función trabaje con objetos de diferentes clases de manera genérica, lo cual favorece la extensibilidad y mantenimiento del software.

En una aplicación Android, podríamos ap",7,0.75,0.777,0.5,0.667,0.5,0.802,33.9,
